domain,action,from_status,to_status,outcome,admissibility,ledger_effect,notes
recognised_state,RegisterRecognisedState,None,Draft,None,allowed,recognised-state-transition,None-to-low-impact-status
recognised_state,RegisterRecognisedState,None,Registered,None,allowed,recognised-state-transition,None-to-low-impact-status
recognised_state,RegisterRecognisedState,None,Provisional,None,allowed,recognised-state-transition,None-to-low-impact-status
recognised_state,RegisterRecognisedState,None,Challengeable,None,allowed,recognised-state-transition,None-to-low-impact-status
recognised_state,RegisterRecognisedState,None,Frozen,None,allowed,recognised-state-transition,downstream-ineligible-low-impact-registration
recognised_state,RegisterRecognisedState,None,Vested,None,rejected,no-ledger,high-impact-status-must-be-transition-generated
recognised_state,RegisterRecognisedState,None,Downgraded,None,rejected,no-ledger,high-impact-status-must-be-challenge-generated
recognised_state,RegisterRecognisedState,None,Voided,None,rejected,no-ledger,high-impact-status-must-be-challenge-generated
recognised_state,RegisterRecognisedState,None,Restored,None,rejected,no-ledger,high-impact-status-must-be-restoration-generated
review_recognition,ProvisionallyRecogniseReview,None,Provisional,None,allowed,recognised-state-transition,review-derived-recognised-state
review_recognition,OpenChallengeWindow,Provisional,Challengeable,None,allowed,recognised-state-transition,opens-challengeable-window
review_recognition,TransitionRecognisedState,Challengeable,Vested,None,allowed,recognised-state-transition,review-vesting-requires-no-open-challenge
generic_transition,TransitionRecognisedState,Registered,Vested,None,allowed,recognised-state-transition,generic-vesting-only
generic_transition,TransitionRecognisedState,Registered,Downgraded,None,rejected,no-ledger,correction-status-needs-challenge-path
generic_transition,TransitionRecognisedState,Registered,Voided,None,rejected,no-ledger,correction-status-needs-challenge-path
generic_transition,TransitionRecognisedState,Registered,Restored,None,rejected,no-ledger,restoration-needs-restoration-path
generic_transition,TransitionRecognisedState,Provisional,Vested,None,rejected,no-ledger,generic-transition-source-must-be-registered
generic_transition,TransitionRecognisedState,Challengeable,Vested,None,rejected,no-ledger,challengeable-review-vesting-uses-review-path
generic_transition,TransitionRecognisedState,Draft,Vested,None,rejected,no-ledger,generic-transition-source-must-be-registered
generic_transition,TransitionRecognisedState,Frozen,Vested,None,rejected,no-ledger,generic-transition-source-must-be-registered
challenge,FileChallenge,Challengeable,Challengeable,None,allowed,challenge-record-only,raw-challenge-does-not-mutate-state
challenge,FileChallenge,Provisional,Provisional,None,rejected,no-ledger,target-must-be-challengeable-recognised-state
challenge,ScreenChallenge,Challengeable,Challengeable,None,allowed,challenge-transition-only,screening-does-not-decide-truth
challenge,ResolveChallenge,Challengeable,Downgraded,Upheld,allowed,challenge-and-recognised-state-transition,upheld-challenge-can-mutate-state
challenge,ResolveChallenge,Challengeable,Voided,Upheld,allowed,challenge-and-recognised-state-transition,upheld-challenge-can-mutate-state
challenge,ResolveChallenge,Challengeable,Challengeable,RejectedGoodFaith,allowed,challenge-transition-only,failed-good-faith-challenge-no-state-mutation
challenge,ResolveChallenge,Challengeable,Challengeable,Negligent,allowed,challenge-transition-only,negligent-challenge-record-no-state-mutation
challenge,ResolveChallenge,Challengeable,Challengeable,MaliciousOrFabricated,allowed,challenge-transition-only,abuse-finding-record-no-sanction-execution
challenge,ResolveChallenge,Challengeable,Vested,Upheld,rejected,no-ledger,upheld-resolution-only-downgrades-or-voids
restoration,ApplyRestoration,Downgraded,Restored,Upheld,allowed,challenge-and-recognised-state-transition,explicit-restoration-after-correction
restoration,ApplyRestoration,Voided,Restored,Upheld,allowed,challenge-and-recognised-state-transition,explicit-restoration-after-correction
restoration,ApplyRestoration,Challengeable,Restored,RejectedGoodFaith,allowed,challenge-and-recognised-state-transition,explicit-restoration-after-failed-good-faith-challenge
restoration,ApplyRestoration,Challengeable,Restored,MaliciousOrFabricated,allowed,challenge-and-recognised-state-transition,explicit-restoration-after-abusive-challenge
restoration,ApplyRestoration,Challengeable,Restored,Negligent,rejected,no-ledger,negligent-outcome-does-not-enable-restoration
challenge,CloseChallenge,Challengeable,Challengeable,RejectedGoodFaith,allowed,challenge-transition-only,closure-does-not-mutate-recognised-state
